City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,whitehorse,60.7161,-135.0538,27.37,86,75,9.22,CA,1699827912
84,murzuq,25.9155,13.9184,69.15,28,0,7.72,LY,1699828133
85,manoharpur,27.3,75.95,60.66,55,8,2.93,IN,1699828231
86,kill devil hills,36.0307,-75.676,55.98,68,100,19.57,US,1699828096
87,itoman,26.1247,127.6694,68.02,77,75,20.71,JP,1699827905
88,isola di capo rizzuto,38.96,17.0933,62.19,76,42,15.55,IT,1699828231
89,mitu,1.1983,-70.1733,79.88,78,99,0.96,CO,1699828231
90,bamboo flat,11.7,92.7167,81.66,79,93,6.6,IN,1699827901
91,gornopravdinsk,60.05,69.9,28.22,98,88,5.48,RU,1699828232
92,belleville,44.1788,-77.3705,35.46,76,20,5.75,CA,1699828232
93,houmt el souk,33.8758,10.8575,66.15,68,20,8.05,TN,1699828232
94,hasaki,35.7333,140.8333,46.29,82,93,23.49,JP,1699827898
95,carolina beach,34.0352,-77.8936,53.1,92,100,4.0,US,1699828119
96,egilsstadir,65.2653,-14.3948,28.31,86,75,10.36,IS,1699827902
97,tual,-5.6667,132.75,82.18,78,60,12.19,ID,1699828232
98,boende,-0.2167,20.8667,69.46,99,93,1.34,CD,1699828233
99,east ballina,-28.8667,153.5833,77.79,77,22,9.06,AU,1699828233
100,richards bay,-28.783,32.0377,66.92,82,100,8.93,ZA,1699827942
101,quezon,7.7303,125.0989,71.19,92,5,2.08,PH,1699827933
102,xiangyang,32.0422,112.1448,43.9,76,99,2.51,CN,1699828233
103,nova sintra,14.8667,-24.7167,74.52,70,28,10.98,CV,1699827661
104,bethel,41.3712,-73.414,39.65,62,0,3.44,US,1699827878
105,takoradi,4.8845,-1.7554,79.86,84,4,7.0,GH,1699827928
106,invercargill,-46.4,168.35,53.02,95,100,5.99,NZ,1699827824
107,safi,32.1667,-8.8333,67.37,41,86,6.87,MA,1699828233
108,ghat,24.9647,10.1728,68.74,27,0,6.58,LY,1699827936
109,dunedin,-45.8742,170.5036,67.06,68,100,5.99,NZ,1699827597
110,el calafate,-50.3408,-72.2768,48.65,64,89,8.48,AR,1699828234
111,kerikeri,-35.2268,173.9474,64.85,54,0,4.32,NZ,1699827939
112,san antonio de pale,-1.4014,5.6325,79.27,85,93,13.53,GQ,1699828234
113,hamilton,39.1834,-84.5333,56.64,48,0,5.75,US,1699827894
114,najran,17.4924,44.1277,65.05,49,54,4.05,SA,1699828234
115,kimbe,-5.5502,150.1429,81.43,66,90,3.76,PG,1699827636
116,west island,-12.1568,96.8225,78.78,89,75,8.05,CC,1699827896
117,blackmans bay,-43.0167,147.3167,57.52,53,8,6.29,AU,1699827866
118,vadso,70.0744,29.7487,24.96,86,20,13.8,NO,1699828234
119,necochea,-38.5473,-58.7368,54.5,43,97,9.15,AR,1699827935
120,alofi,-19.0595,-169.9187,75.09,88,100,12.66,NU,1699828234
121,argo,37.6333,22.7333,61.99,83,75,5.7,GR,1699828234
122,karratha,-20.7377,116.8463,70.74,62,4,11.23,AU,1699827905
123,mpika,-11.8343,31.4529,63.23,87,89,0.67,ZM,1699828235
124,margaret river,-33.95,115.0667,58.28,86,100,13.91,AU,1699827598
125,ust-nera,64.5667,143.2,-14.1,99,100,2.42,RU,1699827863
126,klimovo,52.3805,32.1923,39.72,97,100,18.86,RU,1699828235
127,malango,-2.9627,119.9001,65.95,96,92,2.55,ID,1699827633
128,udachny,66.4167,112.4,7.45,84,100,6.46,RU,1699827636
129,college,64.8569,-147.8028,19.35,87,100,3.44,US,1699827894
130,goondiwindi,-28.55,150.3167,79.86,43,1,11.99,AU,1699827903
131,mana,5.6592,-53.7767,80.06,86,39,12.68,GF,1699827899
132,port mathurin,-19.6833,63.4167,76.78,82,0,5.86,MU,1699827627
133,dazhou,31.2159,107.5009,47.35,88,100,3.83,CN,1699828236
134,ancud,-41.8697,-73.8203,48.85,58,31,9.95,CL,1699827643
135,takab,36.4009,47.1133,45.16,54,78,1.07,IR,1699828236
136,narvik,68.4384,17.4272,27.81,64,4,6.29,NO,1699828236
137,vorgashor,67.5833,63.95,13.05,96,49,10.36,RU,1699827692
138,gobabis,-22.45,18.9667,73.15,43,98,20.83,NA,1699828236
139,sussex,41.1834,-74.6663,39.09,70,0,0.0,US,1699828237
140,weyburn,49.6668,-103.8511,46.62,49,20,12.66,CA,1699828237
141,st. john's,47.5649,-52.7093,32.97,90,100,10.36,CA,1699827808
142,olonkinbyen,70.9221,-8.7187,26.37,67,97,3.89,SJ,1699827641
143,dwarka,22.2394,68.9678,79.07,41,100,9.22,IN,1699827659
144,hadibu,12.65,54.0333,80.38,81,75,12.5,YE,1699827895
145,montecristo,8.2971,-74.4733,78.96,98,99,0.16,CO,1699828237
146,afaahiti,-17.75,-149.2833,84.07,84,30,9.98,PF,1699827896
147,mokhsogollokh,61.4681,128.9203,5.99,90,100,10.11,RU,1699828237
148,inhambane,-23.865,35.3833,72.63,85,27,8.23,MZ,1699827660
149,tazacorte,28.629,-17.9293,75.15,39,100,8.05,ES,1699827901
150,sosnovka,56.255,51.2842,36.36,84,100,13.02,RU,1699828237
151,alice springs,-23.7,133.8833,80.15,54,48,11.5,AU,1699827741
152,bang mun nak,16.0278,100.3792,74.25,94,86,1.97,TH,1699828237
153,drayton valley,53.2168,-114.9854,40.59,30,0,4.36,CA,1699828238
154,zaozersk,69.4005,32.4476,14.13,98,98,7.58,RU,1699828238
155,bardai,11.65,7.2333,73.76,24,2,6.73,NG,1699827861
156,taro,-8.3862,115.28,71.6,90,20,1.39,ID,1699828238
157,cabo san lucas,22.8909,-109.9124,85.3,61,20,10.36,MX,1699827694
158,champerico,14.3,-91.9167,83.19,79,16,4.92,GT,1699828238
159,quellon,-43.1167,-73.6167,47.64,72,99,7.09,CL,1699827914
160,nar'yan-mar,67.6713,53.087,17.11,94,27,5.99,RU,1699827910
161,east london,-33.0153,27.9116,59.65,69,1,9.86,ZA,1699827899
162,howrah,22.5892,88.3103,71.6,83,24,5.75,IN,1699828167
163,novyy urgal,51.0736,132.5642,5.74,93,76,1.25,RU,1699828239
164,baiti,13.745,-14.7482,85.14,19,100,4.03,SN,1699828239
165,lubuklinggau,-3.3,102.8667,73.71,97,100,2.15,ID,1699828239
166,troitsk,54.0979,61.5773,37.92,80,74,5.28,RU,1699828239
167,kampot,10.6167,104.1833,80.65,91,97,4.09,KH,1699828239
